storage_color,Cost,Camera,Rating
"APPLE iPhone 12 (Green, 64 GB)","₹56,999",12MP + 12MP,4.6
"APPLE iPhone 12 (White, 64 GB)","₹56,999",12MP + 12MP,4.6
